ID,S/B,H/B,B/D,T/B,Pf,XB,E,X50
En1,1.24 ,1.33 ,27.27 ,0.78 ,0.48 ,0.58 ,60.00 ,0.37 
En2,1.24 ,1.33 ,27.27 ,0.78 ,0.48 ,0.58 ,60.00 ,0.37 
En3,1.24 ,1.33 ,27.27 ,0.78 ,0.48 ,1.08 ,60.00 ,0.33 
En4,1.24 ,1.33 ,27.27 ,0.78 ,0.48 ,1.11 ,60.00 ,0.42 
En5,1.24 ,1.33 ,27.27 ,0.78 ,0.48 ,1.08 ,60.00 ,0.46 
En6,1.24 ,1.33 ,27.27 ,1.17 ,0.27 ,1.08 ,60.00 ,0.37 
En7,1.24 ,1.33 ,27.27 ,1.06 ,0.33 ,1.08 ,60.00 ,0.64 
En8,1.24 ,1.33 ,27.27 ,0.91 ,0.41 ,1.11 ,60.00 ,0.42 
En9,1.24 ,1.33 ,27.27 ,0.91 ,0.41 ,1.11 ,60.00 ,0.26 
En10,1.24 ,1.33 ,27.27 ,0.99 ,0.36 ,1.08 ,60.00 ,0.42 
En11,1.24 ,1.33 ,27.27 ,1.06 ,0.33 ,1.11 ,60.00 ,0.31 
En12,1.24 ,1.33 ,27.27 ,1.06 ,0.33 ,1.11 ,60.00 ,0.38 
Rc2,1.17 ,1.50 ,26.20 ,1.12 ,0.30 ,0.68 ,45.00 ,0.48 
Rc3,1.17 ,1.58 ,26.20 ,1.22 ,0.28 ,0.68 ,45.00 ,0.48 
Rc4,1.17 ,1.96 ,26.20 ,1.30 ,0.34 ,1.56 ,45.00 ,0.75 
Rc5,1.17 ,1.75 ,26.20 ,1.31 ,0.29 ,1.56 ,45.00 ,0.96 
Rc6,1.17 ,1.75 ,26.20 ,1.16 ,0.36 ,1.56 ,45.00 ,0.76 
Rc7,1.17 ,1.67 ,26.20 ,1.22 ,0.31 ,1.80 ,45.00 ,0.53 
Rc8,1.17 ,1.83 ,26.20 ,1.34 ,0.30 ,1.80 ,45.00 ,0.56 
Rc9,1.17 ,1.83 ,26.20 ,1.29 ,0.32 ,1.80 ,45.00 ,0.74 
Rc10,1.17 ,1.83 ,26.20 ,1.23 ,0.35 ,1.80 ,45.00 ,0.44 
Mg1,1.00 ,2.67 ,27.27 ,0.89 ,0.75 ,0.83 ,50.00 ,0.23 
